First name,Last name,hn,st,tow,ci,pc,reg,make,model,eng
Mersey,Moffet,67,Valley Edge,Chandler,Arizona,85246,1GYUKGEF7AR123092,BMW,3 Series,2.1
Wilfred,Simonnin,99,Waxwing,Washington,District of Columbia,20226,5FRYD3H60FB676717,Mercedes-Benz,M-Class,3
Ernst,Roulston,24,Village Green,San Diego,California,92191,1FMJK1F50AE237088,Mercury,Grand Marquis,3.5
Tally,Glasby,41,Troy,Jacksonville,Florida,32215,1G6AY5SX8E0139713,Toyota,Matrix,1.7
Jaime,Dumini,62,Westerfield,Bronx,New York,10454,JH4NA12613T108008,Infiniti,G37,2.5
Genny,Ricson,69,Eagan,Cincinnati,Ohio,45223,WAUFGBFB1AN041054,Chevrolet,Blazer,3.5
Glynis,Bocken,42,Bellgrove,Atlanta,Georgia,30386,5TDBW5G12FS841875,Chrysler,Town & Country,2.9
Marty,Hymers,70,Moulton,Los Angeles,California,90101,1FTNS1EW2AD452073,Maserati,Biturbo,3.5
Aubree,Jacmar,82,Sommers,Atlanta,Georgia,31106,WAUAFAFH9AN621874,Acura,ZDX,1.4
Hillard,Ianni,86,Debra,Boston,Massachusetts,2109,1FTEX1E85AK004649,Chevrolet,S10,3.6
Tove,Brickwood,68,Pankratz,El Paso,Texas,79989,1FMEU5DE0AU429834,Ford,Escort,2
Anallese,Harcase,69,Westport,Stamford,Connecticut,6922,JH4KC1F58EC641975,Honda,Prelude,1.7
Xenia,Gowing,34,Waubesa,Richmond,Virginia,23260,WBAAZ33413P568762,Isuzu,Trooper,1.3
Beatrice,Egglestone,35,Ramsey,Gatesville,Texas,76598,WAUBVAFB9BN232575,Suzuki,Swift,2.3
Abba,Skrzynski,60,Farmco,Brooklyn,New York,11231,1G4GC5GC4BF719346,Mazda,RX-7,1.4
Marnia,Skill,34,Loomis,Stamford,Connecticut,6922,WAUGVAFR6CA207077,Maybach,62,1.3
Mala,McKimmie,42,Hoard,Grand Rapids,Michigan,49544,WA1AM94L49D731001,Ford,E150,2.2
Cloe,Sharper,94,Lakewood Gardens,Jefferson City,Missouri,65105,WA1CFAFP9CA087959,Chevrolet,Tahoe,3.7
Elsbeth,Dumbell,42,Mitchell,Memphis,Tennessee,38197,3G5DA03EX2S788469,Pontiac,GTO,1.4
Ag,Commusso,60,Chinook,Lincoln,Nebraska,68583,1FTFW1E86AK537343,Mitsubishi,Starion,2.4
Deni,De Minico,19,Schmedeman,Panama City,Florida,32412,WA1LGAFE9DD307032,BMW,5 Series,2
Hasty,Rispen,93,Holy Cross,San Rafael,California,94913,WAUJT58E83A050018,Volkswagen,GTI,2.5
Oralla,Ingerman,96,Jackson,Stamford,Connecticut,6922,1G4CW54K334953086,Audi,S6,2.8
Brook,Sully,96,Schmedeman,Springfield,Massachusetts,1152,1VWAS7A38FC865111,Eagle,Summit,1.5
Haley,Styche,13,Monterey,Anderson,Indiana,46015,WAUVC68E44A726201,Infiniti,M,2.8
Maxie,Hartzogs,45,Barby,Wichita,Kansas,67215,JH4KA96623C509028,GMC,Sonoma,3.2
Bibi,Durrans,68,Fulton,Ann Arbor,Michigan,48107,JN1AZ4EH4DM890701,Volkswagen,GTI,3.3
Ki,Syde,51,Hollow Ridge,Fort Lauderdale,Florida,33315,WBAUC9C5XBV486761,Volkswagen,Eurovan,4
Marve,Kender,35,Shopko,New Orleans,Louisiana,70174,JN8AZ1MU8DW538935,Lincoln,Continental,0.9
Jaimie,MacKim,96,Anzinger,Lafayette,Louisiana,70505,3VW217AU9FM243504,Hyundai,Accent,1.6
Bonny,Raggles,19,Boyd,Memphis,Tennessee,38136,1FTEW1CM4EF276028,Jeep,Compass,1
Dirk,Caudelier,98,Monterey,Phoenix,Arizona,85062,WAUMR44E17N865865,Mercedes-Benz,R-Class,2.8
Pauli,Lynthal,14,Barby,Santa Barbara,California,93106,JTDKDTB32F1076523,Ford,LTD,1.1
Isak,Polendine,61,Coleman,Fayetteville,North Carolina,28314,1FTWW3DY4AE242804,Mazda,MX-5,1.3
Roseline,Shadrack,19,Express,Shawnee Mission,Kansas,66215,1C6RD6LP9CS655944,Mercedes-Benz,SLK-Class,1.8
Bari,Hatherley,77,Dorton,Washington,District of Columbia,20557,2B3CA3CV1AH071371,Volkswagen,Golf,1.4
Lin,Vogl,73,Bultman,Little Rock,Arkansas,72204,3D7TP2CTXBG007245,Mercury,Grand Marquis,1.8
Cathrine,Tretwell,23,Stone Corner,Birmingham,Alabama,35231,JH4DC53094S321769,Hyundai,Santa Fe,2.3
Mil,Signorelli,79,Sage,Carol Stream,Illinois,60158,YV440MBK6F1725867,Dodge,Caliber,3.3
Thorny,Rowbottam,62,Wayridge,Saint Louis,Missouri,63126,JN1EY1AP9EM503318,Mitsubishi,Truck,3.4
Neale,Gallaher,33,Anniversary,Schenectady,New York,12325,1C3CDZCB0CN026001,Saturn,L-Series,1
Wenda,Ivakhno,97,Luster,Mobile,Alabama,36689,JTHBE1BL2F1226937,Dodge,Ram Van 1500,3.6
Sayers,Doncaster,56,Talmadge,Corpus Christi,Texas,78475,WBAEB5C5XAC734050,Mercedes-Benz,E-Class,1
Francyne,Berrick,84,Arrowood,Brooklyn,New York,11247,YV1622FSXC2955464,Toyota,Camry,1.1
Mia,Quilter,97,Elgar,Roanoke,Virginia,24004,WBAKE5C51DJ553803,Pontiac,Firebird,1.6
Trueman,Keeping,48,Clemons,Virginia Beach,Virginia,23459,WA1CMAFE0AD821002,Hyundai,Scoupe,1.5
Adiana,Bleddon,95,Northland,Oakland,California,94616,KL4CJGSB4EB206154,Mazda,RX-8,0.9
Tallia,Elstub,56,Prentice,Pittsburgh,Pennsylvania,15220,19UYA42441A206748,Mitsubishi,Lancer,0.8
Wade,Brea,50,Eggendart,Washington,District of Columbia,20420,JH4CL959X7C087154,Chevrolet,Camaro,3.2
Reed,Cradock,98,Meadow Ridge,Milwaukee,Wisconsin,53210,1GTG5BE38F1274483,Scion,FR-S,3.3
Hilario,Puttergill,42,Lake View,Sacramento,California,94297,3VWKX7AJ2CM193528,Mazda,MPV,0.9
Maxy,Pineaux,50,Stoughton,Jefferson City,Missouri,65105,1D4RD5GG9BC391469,Plymouth,Fury,2.1
Normand,Kinny,96,2nd,Dayton,Ohio,45440,1FTEW1CM4EK008071,Maserati,Quattroporte,3.3
Leela,Badam,25,Brickson Park,Newark,New Jersey,7195,WA1AY74L37D251523,GMC,1500 Club Coupe,4
Karlens,Humpage,47,Monterey,Boston,Massachusetts,2298,KNDPB3AC9F7147825,Buick,Regal,3.1
Desiree,Russen,24,Linden,Wilmington,North Carolina,28405,SCFHDDAJ1BA707824,Ford,Explorer Sport,3.3
Edmon,Somerfield,49,Armistice,Baltimore,Maryland,21239,3C4PDCBB0CT918437,Audi,TT,1.7
Tana,Mandell,26,Carpenter,Providence,Rhode Island,2912,1C4RDJEG5CC342134,Plymouth,Voyager,2.8
Karla,Becraft,61,Lawn,Sacramento,California,95852,19VDE3F34DE593034,Ford,LTD,1.2
Tera,Bernath,98,Raven,Wilkes Barre,Pennsylvania,18706,3VWKX8AJ9BM074122,Alfa Romeo,Spider,2.6
Berkeley,Patty,99,Prairie Rose,Houston,Texas,77035,1GKKRNED8BJ856610,Buick,Regal,2.3
Jamima,Bister,83,Hauk,Austin,Texas,78789,2G4GN5EX3F9984340,GMC,Yukon XL 1500,1
